Found existing: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 
Querying: 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100 
279.446 sec elapsed
# A tibble: 15 x 7
       caseid respondent issue real_response llm_response match     confidence
        <dbl>      <int> <chr> <chr>         <chr>        <chr>     <fct>     
 1 1644107925         65 321e  Oppose        Support      Incorrect High      
 2 1640122837         37 320a  Oppose        Support      Incorrect High      
 3 1644509083         73 320a  Support       Oppose       Incorrect High      
 4 1641011539         41 321d  Oppose        Oppose       Correct   High      
 5 1646541673         94 321b  Support       Support      Correct   High      
 6 1638472343         29 320d  Support       Support      Correct   High      
 7 1637187047         24 320e  Support       Oppose       Incorrect High      
 8 1636969023         23 321b  Support       Support      Correct   High      
 9 1644107217         61 321b  Oppose        Oppose       Correct   Medium    
10 1634826167         12 320e  Oppose        Oppose       Correct   Medium    
11 1638780601         32 321a  Support       Support      Correct   High      
12 1634826167         12 321d  Oppose        Oppose       Correct   Medium    
13 1645570517         88 321e  Oppose        Support      Incorrect Medium    
14 1636010971         19 321a  Support       Support      Correct   High      
15 1646592713         96 321a  Oppose        Support      Incorrect Medium    
