issue,question
320a,"Expand Medicare to a single comprehensive public health care program that would cover all Americans"
320b,"Repeal the entire Affordable Care Act."
320c,"Restore the Affordable Care Act's mandate that all individuals be required to purchase health insurance"
320d,"Expand Medicaid to cover individuals making less than $25,000 and families making less than $40,000 a year"
320e,"Require able-bodied adults under 64 years of age who do not have dependents to have a job in order to receive Medicaid."
321a,"Ban assault rifles"
321b,"Make it easier for people to obtain concealed-carry permit"
321c,"Increase spending on police by $10 billion a year"
321d,"Decrease spending on police by $10 billion a year"
321e,"Increase spending on mental health services by $10 billion a year"
321f,"Require criminal background checks on all gun sales"
322a,"Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes."
322b,"Increase the number of border patrols on the US-Mexican border."
322c,"Withhold federal funds from any local police department that does not report to the federal government anyone they identify as an illegal immigrant."
322d,"Build a wall between the U.S. and Mexico."
322e,"Provide permanent resident status to children of immigrants who were brought to the United States by their parents (also known as Dreamers). Provide these immigrants a pathway to citizenship if they meet the citizenship requirements and have committed no crimes."
323a,"Always allow a woman the right to obtain an abortion as a matter of choice"
323b,"Permit abortion only in case of rape, incest or when the woman's life is in danger"
323c,"Permit abortion only when the woman's life is in danger"
323d,"Prohibit all abortions after the 20th week of pregnancy"
323e,"Make abortions illegal in all circumstances"
323f,"Allow abortions at clinics, as well as hospitals"
324a,"Give the Environmental Protection Agency power to regulate Carbon Dioxide emissions"
324b,"Require that each state use a minimum amount of renewable fuels (wind, solar, and hydroelectric) in the generation of electricity even if electricity prices increase a little"
324c,"Strengthen the Environmental Protection Agency enforcement of the Clean Air Act and Clean Water Act even if it costs U.S. jobs"
324d,"Raise the average fuel efficiency for all cars and trucks in the US from 40 miles per gallon to 54.5 miles per gallon by 2025."
325a,"20 percent tariffs on goods imported from China"
325b,"25 percent tariffs on imported steel and 10% on imported aluminum."
325c,"25 percent border tax on imported goods that are produced with higher carbon emissions than similar US goods"
325d,"The United States joins the Trans-Pacific Partnership trade agreement, a free trade agreement negotiated by the U.S., Japan, China, Australia, New Zealand, Canada, and Chile."
